block,labeler,image_id,file,raw,year,month,day,final_date,format,tags,ts
14,서영,000004,000004.jpg,2022.02.14 b,2022,02,14,2022-02-14,YYYY.MM.DD,b,2026-09-09T18:26:43
14,서영,000009,000009.jpg,2026.10.29,2026,10,29,2026-10-29,YYYY.MM.DD,,2026-09-09T18:26:55
14,서영,000015,000015.jpg,2026.03.01 2,2026,03,01,2026-03-01,YYYY.MM.DD,2,2026-09-09T18:27:00
14,서영,000034,000034.jpg,26.06.30,2026,06,30,2026-06-30,YY.MM.DD,,2026-09-09T18:27:07
14,서영,000044,000044.jpg,26.02.07,2026,02,07,2026-02-07,YY.MM.DD,,2026-09-09T18:27:12
14,서영,000047,000047.png,2027.04.14,2027,04,14,2027-04-14,YYYY.MM.DD,,2026-09-09T18:27:17
14,서영,000050,000050.jpg,2025.09.30,2025,09,30,2025-09-30,YYYY.MM.DD,,2026-09-09T18:28:38
14,서영,000059,000059.jpg,2027.06.22,2027,06,22,2027-06-22,YYYY.MM.DD,,2026-09-09T18:28:41
14,서영,000071,000071.jpg,2027.07.20 2,2027,07,20,2027-07-20,YYYY.MM.DD,2,2026-09-09T18:28:47
14,서영,000080,000080.jpg,26.09.16 2,2026,09,16,2026-09-16,YY.MM.DD,2,2026-09-09T18:28:52
14,서영,000101,000101.jpg,2026.04.08,2026,04,08,2026-04-08,YYYY.MM.DD,,2026-09-09T18:28:58
14,서영,000103,000103.jpg,2025/12/18,2025,12,18,2025-12-18,YYYY.MM.DD,,2026-09-09T18:29:04
14,서영,000109,000109.jpg,2025.12.12 b,2025,12,12,2025-12-12,YYYY.MM.DD,b,2026-09-09T18:29:10
14,서영,000134,000134.jpg,2026.09.23,2026,09,23,2026-09-23,YYYY.MM.DD,,2026-09-09T18:29:14
14,서영,000135,000135.jpg,2026.04.18,2026,04,18,2026-04-18,YYYY.MM.DD,,2026-09-09T18:29:18
14,서영,000136,000136.jpg,2025.12.02,2025,12,02,2025-12-02,YYYY.MM.DD,,2026-09-09T18:29:21
14,서영,000137,000137.jpg,2026.03.26,2026,03,26,2026-03-26,YYYY.MM.DD,,2026-09-09T18:29:24
14,서영,000143,000143.jpg,06/03/2027,2027,03,06,2027-03-06,DD.MM.YYYY,,2026-09-09T18:29:28
14,서영,000144,000144.jpg,2027.03.25,2027,03,25,2027-03-25,YYYY.MM.DD,,2026-09-09T18:29:33
14,서영,000145,000145.jpg,2027.03.24,2027,03,24,2027-03-24,YYYY.MM.DD,,2026-09-09T18:29:36
14,서영,000149,000149.jpg,2026.04.28,2026,04,28,2026-04-28,YYYY.MM.DD,,2026-09-09T18:29:40
14,서영,000151,000151.jpg,2026.09.07,2026,09,07,2026-09-07,YYYY.MM.DD,,2026-09-09T18:29:44
14,서영,000155,000155.jpg,2026.06.22,2026,06,22,2026-06-22,YYYY.MM.DD,,2026-09-09T18:29:48
