image_id,n_cands,max_frag,max_digits
000002,1,1,19
000009,1,1,15
000014,1,1,37
000017,1,1,23
000022,1,2,16
000026,1,1,8
000030,1,1,29
000033,1,2,13
000037,1,1,8
000040,1,1,9
000044,1,2,12
000047,1,2,14
000050,1,1,29
000053,1,1,9
000058,1,1,15
000062,1,1,9
000066,1,1,11
000071,2,2,21
000075,1,1,34
000078,2,1,11
000081,2,2,13
000085,1,1,17
000094,2,1,8
000100,1,2,18
000103,1,1,8
000109,1,2,14
000112,1,2,10
000115,1,1,9
000118,1,1,9
000121,1,1,10
000127,1,1,8
000130,1,1,6
000134,1,1,16
000137,1,2,20
000140,1,1,8
000144,1,1,16
000148,2,1,6
000151,1,1,8
000156,1,1,11
000160,1,2,16
000163,1,1,8
000166,1,1,8
000170,1,1,8
000173,1,1,9
000176,3,2,20
000179,3,2,18
000182,1,1,21
000186,1,1,8
000190,1,2,34
000194,1,1,18
000198,1,0,16
000202,1,1,16
000205,1,0,7
000211,1,1,12
000216,1,0,17
000219,1,1,8
000222,1,1,10
000226,2,2,17
000229,1,0,17
000233,1,0,13
000237,1,1,25
000240,1,1,9
000243,1,1,10
000246,2,3,22
000250,2,2,32
000253,1,1,8
000257,1,1,8
000260,1,1,11
000263,0,2,18
000266,0,1,15
000270,1,1,29
000275,1,1,29
000281,1,1,41
000284,2,1,23
000287,1,2,49
000290,1,1,9
000294,3,3,71
000299,1,1,16
000302,1,1,8
000305,1,2,23
000308,1,1,9
000313,1,1,10
000317,1,1,8
000322,1,0,8
000325,1,1,24
000329,1,1,10
000332,1,1,12
000335,2,1,8
000338,1,1,8
000342,1,1,8
000346,1,1,9
000349,1,1,8
000353,1,1,11
000356,1,1,32
000360,0,1,21
000364,1,1,11
000367,1,1,17
000370,1,2,68
000373,0,1,59
000376,1,1,47
000379,1,0,21
000382,1,2,14
000385,2,1,11
000390,1,2,48
000393,1,1,12
000397,1,2,20
000401,1,2,12
000404,1,2,12
000407,4,2,20
000411,1,1,25
000416,1,0,14
000419,1,1,11
000422,2,1,13
000425,1,2,14
000429,1,1,19
000433,1,2,42
000436,1,2,12
000439,1,1,13
000443,2,2,32
000447,1,0,8
000450,3,3,22
000453,1,3,33
000456,1,1,14
000462,1,1,12
000466,1,1,11
000469,1,1,8
000473,0,1,26
000477,1,1,8
000480,2,1,8
000483,1,1,9
000487,1,2,15
000493,1,1,36
000496,1,1,13
000499,1,1,8
000503,1,3,33
000506,1,1,10
000511,1,1,8
000514,1,1,9
000518,1,1,9
000521,2,1,9
000524,1,1,8
000529,1,1,8
000532,1,1,10
000535,1,1,8
000539,0,1,42
000542,1,1,24
000546,2,1,13
000549,1,2,19
000552,1,1,8
000555,1,1,8
000558,1,1,16
000561,1,3,55
000564,1,1,10
000567,1,1,10
000570,1,1,10
000573,1,1,25
000576,1,1,8
000579,1,1,8
000583,1,2,35
000586,1,1,22
000589,1,2,12
000592,1,1,31
000595,1,2,13
000598,2,2,20
000601,2,1,12
000604,0,1,25
000607,1,1,29
000610,1,1,8
000613,1,1,8
000617,1,1,9
000622,1,3,13
000625,1,1,11
000628,1,1,10
000633,1,1,23
000638,1,2,15
000642,1,1,8
000649,1,2,19
000652,1,1,8
000655,1,1,12
000658,1,1,12
000661,1,2,41
000667,2,1,8
000670,1,1,6
000674,1,1,6
000677,1,1,8
000680,1,1,13
000684,1,1,21
000689,1,2,29
000692,1,1,6
000697,1,1,12
000703,1,2,13
000706,1,1,8
000710,1,1,9
000715,1,1,18
000718,1,1,8
000721,1,1,8
000724,1,2,11
000727,1,2,14
000731,1,1,21
000734,1,1,10
000738,1,1,8
000743,1,1,9
000746,1,1,9
000751,1,2,14
000756,1,1,10
000759,1,1,8
000762,1,0,8
000765,0,1,9
000768,1,0,11
000771,1,2,14
000774,2,2,10
000777,1,3,28
