image_id,label,old,tags,all4,sec
000004,2022-02-14,2027-02-14,b,2027-02-14,18.7
000012,2026-03-23,2026-03-23,,2026-03-23,1.8
000016,2026-01-22,2026-01-22,,2026-01-22,5.0
000021,2025-10-10,2025-10-10,,2025-10-10,9.7
000024,2025-10-11,NONE,,NONE,27.1
000028,2026-02-10,2026-02-10,,2026-02-10,3.3
000032,2026-03-22,2026-03-21,,2026-03-21,2.0
000035,2026-08-17,2026-08-17,,2026-08-17,1.5
000039,2026-05-26,2026-05-26,,2026-05-26,1.6
000042,2025-10-12,2025-10-02,,2025-10-02,1.8
000046,2025-10-10,2025-10-10,,2025-10-10,2.0
000049,2026-03-01,2026-03-01,,2026-03-01,2.9
000052,2025-11-19,2025-11-19,,2025-11-19,2.2
000056,2026-07-11,2026-12-07,2,2026-07-11,6.8
000060,2026-04-30,2026-04-30,,2026-04-30,5.6
000065,2026-01-12,2026-01-12,,2026-01-12,2.2
000068,2026-06-17,2026-06-17,,2026-06-17,5.5
000074,2026-08-28,2026-08-28,,2026-08-28,1.4
000077,2026-03-07,2026-03-07,,2026-03-07,1.2
000080,2026-09-16,2026-09-16,2,2026-09-16,2.9
000084,2026-03-31,2026-03-31,2,2026-03-31,2.4
000093,2026-04-23,2026-04-23,,2026-04-23,1.3
000098,2026-03-11,2026-03-11,,2026-03-11,2.0
000102,2025-11-13,2025-11-13,,2025-11-13,1.5
000107,2025-12-25,2025-12-25,,2025-12-25,1.7
000111,2025-10-25,2025-10-25,,2025-10-25,3.9
000114,2026-02-28,2026-02-28,,2026-02-28,3.0
000117,2025-11-28,2025-11-28,,2025-11-28,1.3
000120,2026-08-25,2026-08-25,,2026-08-25,1.6
000126,2026-06-12,2026-06-12,,2026-06-12,1.6
000129,2026-01-09,2026-01-09,,2026-01-09,1.8
000132,2026-08-21,2026-08-21,,2026-08-21,1.1
000136,2025-12-02,2025-12-02,,2025-12-02,2.6
000139,2026-07-26,2026-07-26,,2026-07-26,1.4
000143,2027-03-06,2027-03-06,,2027-03-06,3.2
000147,2026-03-21,2026-03-21,,2026-03-21,1.9
000150,2026-08-12,2026-08-12,,2026-08-12,3.0
000155,2026-06-22,2026-06-22,,2026-06-22,1.3
000159,2027-01-08,2027-01-01,,2027-01-01,5.1
000162,2027-06-12,2027-06-12,,2027-06-12,2.0
000165,2027-01-13,2027-01-13,,2027-01-13,0.9
000169,2026-03-18,2026-03-18,,2026-03-18,1.6
000172,2026-06-10,2026-06-10,2,2026-06-10,1.3
000175,2026-06-28,2026-06-28,2,2026-06-28,2.3
000178,2026-06-25,2026-06-25,,2026-06-25,1.3
000181,2026-09-08,2026-09-08,2,2026-09-08,1.7
000185,2028-03-15,2028-03-15,,2028-03-15,3.0
000189,2026-08-25,2026-08-25,,2026-08-25,2.6
000192,2026-06-24,2024-06-01,,2024-06-01,2.2
000196,2027-02-27,2027-02-27,,2027-02-27,1.4
000201,2027-03-30,2027-03-30,,2027-03-30,3.3
000204,2026-06-18,2026-06-18,,2026-06-18,3.4
000208,2026-04-13,NONE,,NONE,22.6
000213,2026-03-20,2026-03-20,,2026-03-20,1.5
000218,2026-05-03,2026-05-03,,2026-05-03,1.5
000221,2026-07-15,2026-07-15,,2026-07-15,1.4
000225,2026-04-06,2026-04-06,,2026-04-06,3.4
000228,2025-10-20,2025-10-20,,2025-10-20,1.1
000232,2027-11-26,NONE,e,NONE,15.8
000236,2026-04-08,2026-04-08,,2026-04-08,3.0
000239,2026-07-10,2026-07-10,,2026-07-10,3.7
000242,2026-05-21,2025-09-22,2,2028-05-21,6.3
000245,2026-02-24,2026-02-24,2,2026-02-24,2.8
000249,2026-02-16,2026-02-16,,2026-02-16,2.8
000252,2026-07-09,2026-07-09,,2026-07-09,1.7
000256,2027-01-02,2027-01-02,,2027-01-02,1.6
000259,2025-11-09,2025-11-09,,2025-09-22,4.3
000262,2027-01-10,2027-01-10,b,2027-01-10,2.9
000265,2026-11-26,2026-11-26,,2026-11-26,2.1
000269,2026-05-15,2026-05-15,,2026-05-15,4.0
000272,2026-05-10,2026-05-10,,2026-05-10,1.7
000280,2026-03-23,2026-03-23,,2026-03-23,1.3
000283,2027-09-17,2027-09-17,,2027-09-17,2.4
000286,2027-03-11,2027-03-11,,2027-03-11,18.3
000289,2030-07-23,2030-07-23,,2030-07-23,2.2
000292,2026-02-13,2026-02-13,,2026-02-13,1.5
000296,2026-07-28,2026-07-28,,2026-07-28,1.7
000301,2027-04-09,2027-04-09,,2027-04-09,2.0
000304,2026-06-01,2026-06-01,,2026-06-01,2.4
000307,2025-11-14,2025-11-14,,2025-11-14,2.3
000312,2026-08-26,2026-08-26,,2026-08-26,2.4
000316,2027-03-01,2027-03-01,,2027-03-01,1.7
000320,2025-11-12,2025-11-12,2,2025-11-12,2.6
000324,2027-05-15,2027-05-15,,2027-05-15,4.4
000328,2025-12-25,2025-12-25,,2025-12-25,5.3
000331,2025-10-31,2025-10-31,,2025-10-31,2.2
000334,2026-03-15,2026-03-15,,2026-03-15,1.6
000337,2025-12-09,2025-12-09,,2025-12-09,1.5
000341,2026-04-29,2026-04-29,,2026-04-29,1.5
000345,2026-04-09,2026-04-09,,2026-04-09,3.1
000348,2026-04-02,2026-04-02,,2026-04-02,3.6
000352,2026-08-27,2026-08-27,,2026-08-27,2.4
000355,2028-06-17,2028-05-17,,2028-06-17,3.7
000359,2026-06-16,2026-06-16,,2026-06-16,4.2
000363,2026-04-21,2026-04-21,,2026-04-21,2.1
000366,2026-09-05,2026-09-05,,2026-09-05,2.9
000369,2027-06-25,2027-06-25,,2027-06-25,1.8
000372,2026-09-15,2026-09-15,,2026-09-15,1.7
