image_id,label,old,tags,base,ft_p2,ft_union,ft_fb,sec
000004,2022-02-14,2027-02-14,b,2027-02-14,2027-02-14,2027-02-14,2027-02-14,39.2
000012,2026-03-23,2026-03-23,,2026-03-23,2026-03-23,2026-03-23,2026-03-23,3.9
000016,2026-01-22,2026-01-22,,2026-01-22,2026-01-22,2026-01-22,2026-01-22,4.7
000021,2025-10-10,2025-10-10,,2025-10-10,2025-10-10,2025-10-10,2025-10-10,7.4
000024,2025-10-11,NONE,,NONE,NONE,NONE,NONE,30.8
000028,2026-02-10,2026-02-10,,2026-02-10,2026-02-10,2026-02-10,2026-02-10,9.1
000032,2026-03-22,2026-03-21,,2026-03-21,2026-03-02,2026-03-21,2026-03-02,5.1
000035,2026-08-17,2026-08-17,,2026-08-17,2026-08-17,2026-08-17,2026-08-17,3.5
000039,2026-05-26,2026-05-26,,2026-05-26,2026-05-26,2026-05-26,2026-05-26,3.1
000042,2025-10-12,2025-10-02,,2025-10-02,2025-10-02,2025-10-02,2025-10-02,4.6
000046,2025-10-10,2025-10-10,,2025-10-10,2025-10-10,2025-10-10,2025-10-10,4.0
000049,2026-03-01,2026-03-01,,2026-03-01,2026-03-01,2026-03-01,2026-03-01,6.6
000052,2025-11-19,2025-11-19,,2025-11-19,2025-11-19,2025-11-19,2025-11-19,4.6
000056,2026-07-11,2026-12-07,2,2026-12-07,2026-12-07,2026-12-07,2026-12-07,20.4
000060,2026-04-30,2026-04-30,,2026-04-30,2026-04-30,2026-04-30,2026-04-30,2.7
000065,2026-01-12,2026-01-12,,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2.6
000068,2026-06-17,2026-06-17,,2026-06-17,2026-06-17,2026-06-17,2026-06-17,6.8
000074,2026-08-28,2026-08-28,,2026-08-28,2026-08-28,2026-08-28,2026-08-28,2.0
000077,2026-03-07,2026-03-07,,2026-03-07,2026-03-07,2026-03-07,2026-03-07,1.8
000080,2026-09-16,2026-09-16,2,2026-09-16,2026-09-16,2026-09-16,2026-09-16,6.3
000084,2026-03-31,2026-03-31,2,2026-03-31,2026-03-31,2026-03-31,2026-03-31,6.7
000093,2026-04-23,2026-04-23,,2026-04-23,2026-04-23,2026-04-23,2026-04-23,1.7
000098,2026-03-11,2026-03-11,,2026-03-11,2026-03-11,2026-03-11,2026-03-11,4.2
000102,2025-11-13,2025-11-13,,2025-11-13,2025-11-13,2025-11-13,2025-11-13,2.5
000107,2025-12-25,2025-12-25,,2025-12-25,2025-12-25,2025-12-25,2025-12-25,2.7
000111,2025-10-25,2025-10-25,,2025-10-25,2025-10-25,2025-10-25,2025-10-25,4.9
000114,2026-02-28,2026-02-28,,2026-02-28,2026-02-28,2026-02-28,2026-02-28,5.1
000117,2025-11-28,2025-11-28,,2025-11-28,2025-11-28,2025-11-28,2025-11-28,3.0
000120,2026-08-25,2026-08-25,,2026-08-25,2026-08-25,2026-08-25,2026-08-25,3.7
000126,2026-06-12,2026-06-12,,2026-06-12,2026-06-12,2026-06-12,2026-06-12,4.3
000129,2026-01-09,2026-01-09,,2026-01-09,2026-01-09,2026-01-09,2026-01-09,3.3
000132,2026-08-21,2026-08-21,,2026-08-21,2026-08-21,2026-08-21,2026-08-21,2.2
000136,2025-12-02,2025-12-02,,2025-12-02,2025-12-02,2025-12-02,2025-12-02,3.2
000139,2026-07-26,2026-07-26,,2026-07-26,2026-07-26,2026-07-26,2026-07-26,3.8
000143,2027-03-06,2027-03-06,,2027-03-06,2027-03-06,2027-03-06,2027-03-06,5.4
000147,2026-03-21,2026-03-21,,2026-03-21,2026-03-21,2026-03-21,2026-03-21,2.1
000150,2026-08-12,2026-08-12,,2026-08-12,2026-08-12,2026-08-12,2026-08-12,3.1
000155,2026-06-22,2026-06-22,,2026-06-22,2026-06-22,2026-06-22,2026-06-22,1.7
000159,2027-01-08,2027-01-01,,2027-01-01,2027-01-08,2027-01-08,2027-01-08,8.9
000162,2027-06-12,2027-06-12,,2027-06-12,2027-06-12,2027-06-12,2027-06-12,4.7
000165,2027-01-13,2027-01-13,,2027-01-13,2027-01-13,2027-01-13,2027-01-13,2.2
000169,2026-03-18,2026-03-18,,2026-03-18,2026-03-18,2026-03-18,2026-03-18,1.8
000172,2026-06-10,2026-06-10,2,2026-06-10,2026-06-10,2026-06-10,2026-06-10,3.0
000175,2026-06-28,2026-06-28,2,2026-06-28,2026-06-28,2026-06-28,2026-06-28,5.4
000178,2026-06-25,2026-06-25,,2026-06-25,2026-09-26,2026-09-26,2026-09-26,3.1
000181,2026-09-08,2026-09-08,2,2026-09-08,2026-09-08,2026-09-08,2026-09-08,4.1
000185,2028-03-15,2028-03-15,,2028-03-15,2028-03-15,2028-03-15,2028-03-15,6.8
000189,2026-08-25,2026-08-25,,2026-08-25,2026-08-25,2026-08-25,2026-08-25,6.1
000192,2026-06-24,2024-06-01,,2024-06-01,2024-06-01,2024-06-01,2024-06-01,6.0
000196,2027-02-27,2027-02-27,,2027-02-27,2027-02-27,2027-02-27,2027-02-27,6.3
000201,2027-03-30,2027-03-30,,2027-03-30,2027-03-30,2027-03-30,2027-03-30,8.0
000204,2026-06-18,2026-06-18,,2026-06-18,2026-06-18,2026-06-18,2026-06-18,9.9
000208,2026-04-13,NONE,,2026-04-13,2026-04-13,2026-04-13,2026-04-13,8.0
000213,2026-03-20,2026-03-20,,2026-03-20,2026-03-20,2026-03-20,2026-03-20,4.1
000218,2026-05-03,2026-05-03,,2026-05-03,2026-05-03,2026-05-03,2026-05-03,4.5
000221,2026-07-15,2026-07-15,,2026-07-15,2026-07-11,2026-07-15,2026-07-11,5.0
000225,2026-04-06,2026-04-06,,2026-04-06,2026-04-06,2026-04-06,2026-04-06,12.8
000228,2025-10-20,2025-10-20,,2025-10-20,2025-10-20,2025-10-20,2025-10-20,4.6
000232,2027-11-26,NONE,e,NONE,NONE,NONE,NONE,33.1
000236,2026-04-08,2026-04-08,,2026-04-08,2026-04-08,2026-04-08,2026-04-08,6.8
000239,2026-07-10,2026-07-10,,2026-07-10,2026-07-10,2026-07-10,2026-07-10,11.1
000242,2026-05-21,2025-09-22,2,2025-09-22,2026-05-21,2026-05-21,2026-05-21,14.6
000245,2026-02-24,2026-02-24,2,2026-02-24,2026-02-24,2026-02-24,2026-02-24,7.4
000249,2026-02-16,2026-02-16,,2026-02-16,2026-02-16,2026-02-16,2026-02-16,9.5
000252,2026-07-09,2026-07-09,,2026-07-09,2026-07-09,2026-07-09,2026-07-09,3.3
000256,2027-01-02,2027-01-02,,2027-01-02,2027-01-02,2027-01-02,2027-01-02,4.0
000259,2025-11-09,2025-11-09,,2025-11-09,2025-11-09,2025-11-09,2025-11-09,5.9
000262,2027-01-10,2027-01-10,b,2027-01-10,2027-01-10,2027-01-10,2027-01-10,5.9
000265,2026-11-26,2026-11-26,,2026-11-26,2026-11-26,2026-11-26,2026-11-26,3.9
000269,2026-05-15,2026-05-15,,2026-05-15,2026-05-15,2026-05-15,2026-05-15,11.4
000272,2026-05-10,2026-05-10,,2026-05-10,2026-05-10,2026-05-10,2026-05-10,4.8
000280,2026-03-23,2026-03-23,,2026-03-23,2026-03-23,2026-03-23,2026-03-23,4.3
000283,2027-09-17,2027-09-17,,2027-09-17,2027-09-17,2027-09-17,2027-09-17,5.5
000286,2027-03-11,2027-03-11,,2027-03-11,2027-03-11,2027-03-11,2027-03-11,36.9
000289,2030-07-23,2030-07-23,,2030-07-23,2030-07-23,2030-07-23,2030-07-23,3.3
000292,2026-02-13,2026-02-13,,2026-02-13,2026-02-13,2026-02-13,2026-02-13,2.0
000296,2026-07-28,2026-07-28,,2026-07-28,2026-07-28,2026-07-28,2026-07-28,3.0
000301,2027-04-09,2027-04-09,,2027-04-09,2027-04-09,2027-04-09,2027-04-09,2.4
000304,2026-06-01,2026-06-01,,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2.9
000307,2025-11-14,2025-11-14,,2025-11-14,2025-11-14,2025-11-14,2025-11-14,4.4
000312,2026-08-26,2026-08-26,,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2.9
000316,2027-03-01,2027-03-01,,2027-03-01,2027-03-01,2027-03-01,2027-03-01,2.6
000320,2025-11-12,2025-11-12,2,2025-11-12,2025-11-12,2025-11-12,2025-11-12,5.6
000324,2027-05-15,2027-05-15,,2027-05-15,2027-05-15,2027-05-15,2027-05-15,7.9
000328,2025-12-25,2025-12-25,,2025-12-25,2025-12-25,2025-12-25,2025-12-25,8.3
000331,2025-10-31,2025-10-31,,2025-10-31,2025-10-31,2025-10-31,2025-10-31,5.9
000334,2026-03-15,2026-03-15,,2026-03-15,2026-03-15,2026-03-15,2026-03-15,6.9
000337,2025-12-09,2025-12-09,,2025-12-09,2025-12-09,2025-12-09,2025-12-09,3.9
000341,2026-04-29,2026-04-29,,2026-04-29,2026-04-29,2026-04-29,2026-04-29,3.8
000345,2026-04-09,2026-04-09,,2026-04-09,2026-04-09,2026-04-09,2026-04-09,5.5
000348,2026-04-02,2026-04-02,,2026-04-02,2026-04-02,2026-04-02,2026-04-02,5.9
000352,2026-08-27,2026-08-27,,2026-08-27,2026-08-27,2026-08-27,2026-08-27,4.5
000355,2028-06-17,2028-05-17,,2028-06-17,2028-06-17,2028-06-17,2028-06-17,6.4
000359,2026-06-16,2026-06-16,,2026-06-16,2026-06-16,2026-06-16,2026-06-16,6.9
000363,2026-04-21,2026-04-21,,2026-04-21,2026-04-21,2026-04-21,2026-04-21,3.3
000366,2026-09-05,2026-09-05,,2026-09-05,2026-09-05,2026-09-05,2026-09-05,4.7
000369,2027-06-25,2027-06-25,,2027-06-25,2027-06-25,2027-06-25,2027-06-25,3.5
000372,2026-09-15,2026-09-15,,2026-09-15,2026-09-15,2026-09-15,2026-09-15,6.9
000375,2026-05-31,2026-05-31,,2026-05-31,2026-05-31,2026-05-31,2026-05-31,7.1
000378,2026-05-29,2026-05-29,2,2026-05-29,2026-05-29,2026-05-29,2026-05-29,4.3
000381,2027-01-20,2027-01-20,,2027-01-20,2027-01-20,2027-01-20,2027-01-20,2.9
000384,2026-09-08,2026-07-08,2,2026-07-08,2026-07-08,2026-07-08,2026-07-08,3.2
000387,2027-01-21,2027-01-21,,2027-01-21,2027-01-21,2027-01-21,2027-01-21,5.6
000392,2026-08-28,2026-08-28,2,2026-08-28,2026-08-28,2026-08-28,2026-08-28,6.2
000396,2026-02-27,2026-02-27,,2026-02-27,2026-02-27,2026-02-27,2026-02-27,4.3
000399,2027-01-31,2027-01-31,,2027-01-31,2027-01-31,2027-01-31,2027-01-31,4.2
000403,2027-04-01,2027-04-01,,2027-04-01,2027-04-01,2027-04-01,2027-04-01,9.9
000406,2026-08-27,NONE,2,NONE,NONE,NONE,NONE,30.6
000410,2027-04-13,2027-04-13,,2027-04-13,2027-04-13,2027-04-13,2027-04-13,3.7
000414,2026-04-07,2026-04-07,,2026-04-07,2026-04-07,2026-04-07,2026-04-07,3.4
000418,2026-09-08,2026-09-08,,2026-09-08,2026-09-08,2026-09-08,2026-09-08,8.6
000421,2026-07-17,2026-07-17,,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2.9
000424,2026-03-28,2026-03-28,,2026-03-28,2026-03-28,2026-03-28,2026-03-28,6.9
000427,2027-04-01,2027-04-01,,2027-04-01,2027-04-01,2027-04-01,2027-04-01,3.5
000431,2026-03-17,2026-03-17,,2026-03-17,2026-03-17,2026-03-17,2026-03-17,3.7
000435,2026-07-14,2026-07-14,,2026-07-14,2026-07-14,2026-07-14,2026-07-14,1.8
000438,2026-02-19,NONE,t,NONE,NONE,NONE,NONE,17.8
000442,2025-11-30,2025-11-30,,2025-11-30,2025-11-30,2025-11-30,2025-11-30,3.7
000445,2026-07-17,2026-07-17,,2026-07-17,2026-07-17,2026-07-17,2026-07-17,21.4
000449,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,2026-01-28,2026-01-28,7.6
000452,2026-03-25,2025-09-NONE,2,NONE,NONE,NONE,NONE,25.5
000455,2026-02-10,2026-02-10,2,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2.2
000461,2026-11-28,2026-11-28,,2026-11-28,2026-11-28,2026-11-28,2026-11-28,3.4
000465,2027-07-30,2027-07-30,t,2027-07-30,2027-07-30,2027-07-30,2027-07-30,3.7
000468,2026-04-06,NONE,?,NONE,NONE,NONE,NONE,19.3
