image_id,label,old,tags,base,ft_p2,ft_union,ft_fb,sec
000003,2026-05-12,2026-05-12,t,2026-05-12,2026-05-12,2026-05-12,2026-05-12,1.6
000010,2026-06-08,2026-06-08,,2026-06-08,2026-06-08,2026-06-08,2026-06-08,2.6
000015,2026-03-01,2026-03-01,2,2026-03-01,2026-03-01,2026-03-01,2026-03-01,6.2
000018,2026-04-24,2026-04-24,,2026-04-24,2026-04-24,2026-04-24,2026-04-24,10.4
000023,2025-10-10,2025-10-10,,2025-10-10,2025-10-10,2025-10-10,2025-10-10,1.8
000027,2026-04-27,2026-04-27,,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2.7
000031,2026-02-14,2026-02-14,,2026-02-14,2026-02-14,2026-02-14,2026-02-14,1.8
000034,2026-06-30,2026-06-30,,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2.4
000038,2027-02-12,2027-02-12,,2027-02-12,2027-02-12,2027-02-12,2027-02-12,1.8
000041,2025-10-11,2025-10-11,,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2.0
000045,2027-04-21,2027-04-21,,2027-04-21,2027-04-21,2027-04-21,2027-04-21,2.1
000048,2026-06-12,2026-06-12,,2026-06-12,2026-06-12,2026-06-12,2026-06-12,6.0
000051,2026-01-12,2026-01-12,,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2.0
000054,2025-10-08,NONE,,NONE,NONE,NONE,NONE,15.6
000059,2027-06-22,2022-06-22,,2027-06-22,2027-06-22,2027-06-22,2027-06-22,14.9
000063,2026-06-16,2026-06-16,2,2026-06-16,2026-06-16,2026-06-16,2026-06-16,2.3
000067,2025-12-19,NONE,,NONE,NONE,NONE,NONE,15.7
000072,2026-04-25,2026-04-25,,2026-04-25,2026-04-25,2026-04-25,2026-04-25,6.7
000076,2026-08-17,2026-08-17,,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2.1
000079,2026-01-31,2026-01-31,,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2.2
000083,2026-07-01,2026-07-01,,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2.0
000091,2027-05-22,2027-05-22,,2027-05-22,2027-05-22,2027-05-22,2027-05-22,2.7
000095,2026-07-29,2026-07-29,,2026-07-29,2026-07-29,2026-07-29,2026-07-29,5.9
000101,2026-04-08,2026-04-08,,2026-04-08,2026-04-08,2026-04-08,2026-04-08,3.7
000106,NONE-10-20,NONE,,NONE,NONE,NONE,NONE,25.0
000110,2025-10-29,NONE,,NONE,NONE,NONE,NONE,18.6
000113,2026-01-16,2026-01-16,,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2.0
000116,2026-03-27,2026-03-27,,2026-03-27,2026-03-27,2026-03-27,2026-03-27,3.1
000119,2026-08-24,2026-08-24,,2026-08-24,2026-08-24,2026-08-24,2026-08-24,2.1
000125,2026-04-07,2026-04-07,,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2.3
000128,2026-05-28,2026-05-28,,2026-05-28,2026-05-28,2026-05-28,2026-05-28,3.3
000131,2026-08-05,2026-08-05,,2026-08-05,2026-08-05,2026-08-05,2026-08-05,1.6
000135,2026-04-18,2026-04-18,,2026-04-18,2026-04-18,2026-04-18,2026-04-18,3.3
000138,2026-05-14,2026-05-14,,2026-05-14,2026-05-14,2026-05-14,2026-05-14,3.2
000141,2026-09-17,2026-09-17,,2026-09-17,2026-09-17,2026-09-17,2026-09-17,3.0
000145,2027-03-24,2027-03-24,,2027-03-24,2027-03-24,2027-03-24,2027-03-24,6.8
000149,2026-04-28,2026-04-28,,2026-04-28,2026-04-28,2026-04-28,2026-04-28,6.1
000152,2026-07-31,2026-07-31,,2026-07-31,2026-07-31,2026-07-31,2026-07-31,1.8
000157,2027-07-08,NONE,t,NONE,NONE,NONE,NONE,13.8
000161,2027-05-10,2027-05-10,,2027-05-10,2027-05-01,2027-05-10,2027-05-01,4.2
000164,2026-04-27,2026-04-27,,2026-04-27,2026-04-27,2026-04-27,2026-04-27,1.8
000167,2026-08-07,2026-08-07,,2026-08-07,2026-08-07,2026-08-07,2026-08-07,5.0
000171,2026-05-27,2026-05-27,2,2026-05-27,2026-05-27,2026-05-27,2026-05-27,3.7
000174,2026-09-05,2026-09-05,2,2026-09-05,2026-09-05,2026-09-05,2026-09-05,5.0
000177,2026-08-18,2026-08-18,,2026-08-18,2026-08-18,2026-08-18,2026-08-18,4.5
000180,2026-06-25,2026-06-25,2,2026-06-25,2026-06-25,2026-06-25,2026-06-25,3.7
000184,2027-11-19,2027-11-01,,2027-11-01,2027-11-19,2027-11-19,2027-11-19,4.0
000187,2028-02-05,2028-02-05,,2028-02-05,2028-02-05,2028-02-05,2028-02-05,3.3
000191,2026-06-15,NONE,,NONE,NONE,NONE,NONE,22.4
000195,2027-07-01,2027-07-01,,2027-07-01,2027-07-01,2027-07-01,2027-07-01,2.8
000200,2027-07-14,2021-07-NONE,,2021-07-NONE,2021-07-NONE,2021-07-NONE,2021-07-NONE,16.1
000203,2026-07-01,2026-07-08,,2026-07-08,2026-07-08,2026-07-08,2026-07-08,18.2
000206,2026-05-08,2026-05-08,,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2.5
000212,2026-12-16,2026-12-16,,2026-12-16,2026-12-16,2026-12-16,2026-12-16,15.1
000217,2027-03-08,2027-03-08,,2027-03-08,2027-03-08,2027-03-08,2027-03-08,7.5
000220,2026-02-23,2026-02-23,,2026-02-23,2026-02-23,2026-02-23,2026-02-23,1.9
000223,2026-08-13,2026-08-13,,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2.2
