image_id,label,old,tags,ko,sec
000004,2022-02-14,2027-02-14,b,2027-02-14,24.2
000012,2026-03-23,2026-03-23,,2026-03-23,1.9
000016,2026-01-22,2026-01-22,,2026-01-22,3.3
000021,2025-10-10,2025-10-10,,2025-10-10,5.0
000024,2025-10-11,NONE,,NONE,25.8
000028,2026-02-10,2026-02-10,,2026-02-10,4.9
000032,2026-03-22,2026-03-21,,2026-03-21,2.5
000035,2026-08-17,2026-08-17,,2026-08-17,1.8
000039,2026-05-26,2026-05-26,,2026-05-26,2.0
000042,2025-10-12,2025-10-02,,2025-10-02,1.9
000046,2025-10-10,2025-10-10,,2025-10-10,2.6
000049,2026-03-01,2026-03-01,,2026-03-01,4.7
000052,2025-11-19,2025-11-19,,2025-11-19,3.0
000056,2026-07-11,2026-12-07,2,2026-12-07,10.7
000060,2026-04-30,2026-04-30,,2026-04-30,2.1
000065,2026-01-12,2026-01-12,,2026-01-12,3.0
000068,2026-06-17,2026-06-17,,2026-06-17,7.9
000074,2026-08-28,2026-08-28,,2026-08-28,2.3
000077,2026-03-07,2026-03-07,,2026-03-07,1.8
000080,2026-09-16,2026-09-16,2,2026-09-16,4.3
000084,2026-03-31,2026-03-31,2,2026-03-31,3.3
000093,2026-04-23,2026-04-23,,2026-04-23,1.4
000098,2026-03-11,2026-03-11,,2026-03-11,3.8
000102,2025-11-13,2025-11-13,,2025-11-13,2.5
000107,2025-12-25,2025-12-25,,2025-12-25,2.0
000111,2025-10-25,2025-10-25,,2025-10-25,3.8
000114,2026-02-28,2026-02-28,,2026-02-28,3.1
000117,2025-11-28,2025-11-28,,2025-11-28,1.0
000120,2026-08-25,2026-08-25,,2026-08-25,1.2
000126,2026-06-12,2026-06-12,,2026-06-12,1.4
000129,2026-01-09,2026-01-09,,2026-01-09,2.0
000132,2026-08-21,2026-08-21,,2026-08-21,1.8
000136,2025-12-02,2025-12-02,,2025-12-02,2.7
000139,2026-07-26,2026-07-26,,2026-07-26,2.4
000143,2027-03-06,2027-03-06,,2027-03-06,4.4
000147,2026-03-21,2026-03-21,,2026-03-21,1.8
000150,2026-08-12,2026-08-12,,2026-08-12,4.5
000155,2026-06-22,2026-06-22,,2026-06-22,1.7
000159,2027-01-08,2027-01-01,,2027-01-01,6.5
000162,2027-06-12,2027-06-12,,2027-06-12,4.4
000165,2027-01-13,2027-01-13,,2027-01-13,1.6
000169,2026-03-18,2026-03-18,,2026-03-18,1.6
000172,2026-06-10,2026-06-10,2,2026-06-10,2.5
000175,2026-06-28,2026-06-28,2,2026-06-28,2.7
000178,2026-06-25,2026-06-25,,2026-06-25,2.2
000181,2026-09-08,2026-09-08,2,2026-09-08,2.5
000185,2028-03-15,2028-03-15,,2028-03-15,4.0
000189,2026-08-25,2026-08-25,,2026-08-25,2.7
000192,2026-06-24,2024-06-01,,2024-06-01,3.4
000196,2027-02-27,2027-02-27,,2027-02-27,2.0
000201,2027-03-30,2027-03-30,,2027-03-30,3.4
000204,2026-06-18,2026-06-18,,2026-06-18,3.9
000208,2026-04-13,NONE,,2026-04-13,2.2
000213,2026-03-20,2026-03-20,,2026-03-20,2.4
000218,2026-05-03,2026-05-03,,2026-05-03,3.1
000221,2026-07-15,2026-07-15,,2026-07-15,2.0
000225,2026-04-06,2026-04-06,,2026-04-06,4.1
000228,2025-10-20,2025-10-20,,2025-10-20,2.6
000232,2027-11-26,NONE,e,NONE,21.4
000236,2026-04-08,2026-04-08,,2026-04-08,3.8
000239,2026-07-10,2026-07-10,,2026-07-10,6.6
000242,2026-05-21,2025-09-22,2,2025-09-22,6.0
000245,2026-02-24,2026-02-24,2,2026-02-24,4.4
000249,2026-02-16,2026-02-16,,2026-02-16,5.3
000252,2026-07-09,2026-07-09,,2026-07-09,2.6
000256,2027-01-02,2027-01-02,,2027-01-02,2.3
000259,2025-11-09,2025-11-09,,2025-11-09,3.2
000262,2027-01-10,2027-01-10,b,2027-01-10,4.5
000265,2026-11-26,2026-11-26,,2026-11-26,1.9
000269,2026-05-15,2026-05-15,,2026-05-15,4.6
000272,2026-05-10,2026-05-10,,2026-05-10,2.5
000280,2026-03-23,2026-03-23,,2026-03-23,1.9
000283,2027-09-17,2027-09-17,,2027-09-17,2.6
000286,2027-03-11,2027-03-11,,2027-03-11,20.8
000289,2030-07-23,2030-07-23,,2030-07-23,2.5
000292,2026-02-13,2026-02-13,,2026-02-13,2.0
000296,2026-07-28,2026-07-28,,2026-07-28,1.9
000301,2027-04-09,2027-04-09,,2027-04-09,2.4
000304,2026-06-01,2026-06-01,,2026-06-01,2.1
000307,2025-11-14,2025-11-14,,2025-11-14,2.8
000312,2026-08-26,2026-08-26,,2026-08-26,2.6
000316,2027-03-01,2027-03-01,,2027-03-01,2.4
