image_id,n_cands,max_frag,max_digits
000004,1,3,21
000012,1,1,12
000016,1,1,13
000021,1,1,7
000024,0,2,18
000028,2,3,20
000032,1,2,13
000035,1,1,16
000039,1,1,14
000042,1,1,11
000046,1,1,11
000049,2,1,14
000052,1,1,11
000056,3,3,55
000060,1,1,18
000065,1,2,15
000068,1,1,13
000074,1,1,8
000077,1,1,8
000080,2,2,14
000084,2,2,14
000093,1,0,7
000098,1,1,10
000102,1,1,9
000107,1,1,11
000111,1,1,10
000114,1,1,8
000117,1,1,8
000120,1,1,8
000126,1,1,8
000129,1,0,8
000132,1,1,8
000136,1,1,14
000139,1,1,8
000143,1,1,27
000147,1,1,8
000150,2,1,13
000155,1,2,15
000159,1,1,10
000162,2,2,10
000165,1,1,8
000169,1,1,8
000172,1,3,21
000175,2,1,11
000178,2,1,8
000181,2,1,8
000185,1,2,30
000189,1,1,12
000192,1,0,11
000196,1,1,9
000201,1,2,22
000204,1,1,36
000208,1,1,7
000213,1,1,8
000218,1,1,8
000221,1,1,9
000225,1,2,40
000228,1,1,8
000232,0,0,4
000236,1,2,17
000239,2,1,19
000242,2,3,53
000245,2,2,13
000249,3,3,27
000252,2,1,8
000256,1,1,6
000259,1,1,24
000262,1,1,20
000265,1,1,8
000269,1,2,15
000272,1,1,8
000280,1,1,8
000283,1,2,14
000286,1,1,57
000289,1,0,17
000292,1,1,9
000296,1,1,8
000301,1,1,9
000304,1,1,8
000307,1,2,13
000312,1,1,8
000316,1,1,9
000320,2,1,12
000324,1,1,42
000328,1,2,14
000331,1,1,12
000334,1,1,9
000337,1,1,8
000341,1,1,8
000345,1,1,13
000348,1,3,69
000352,1,1,31
000355,1,1,9
000359,1,1,12
000363,1,2,13
000366,1,1,14
000369,1,1,9
000372,1,2,14
000375,1,2,14
000378,1,0,9
000381,1,1,10
000384,1,1,9
000387,1,1,12
000392,1,3,18
000396,1,1,11
000399,1,2,13
000403,1,1,12
000406,0,2,25
000410,1,1,8
000414,1,1,8
000418,1,1,8
000421,1,2,10
000424,1,2,30
000427,1,1,8
000431,1,2,45
000435,1,0,8
000438,0,1,29
000442,1,2,35
000445,1,2,19
000449,1,2,18
000452,0,2,25
000455,1,2,12
000461,1,1,9
000465,1,1,21
000468,0,1,7
000471,1,1,15
000476,1,1,11
000479,1,1,8
000482,1,1,55
000485,0,0,3
000490,1,1,6
000495,2,4,134
000498,1,1,12
000502,1,2,35
000505,0,2,36
000510,1,3,58
000513,1,1,9
000517,1,1,33
000520,1,1,22
000523,2,1,11
000527,0,2,13
000531,1,1,9
000534,1,1,8
000538,1,1,12
000541,1,1,9
000545,1,1,10
000548,1,2,23
000551,1,1,13
000554,1,1,8
000557,1,2,20
000560,1,2,13
000563,0,1,8
000566,1,1,10
000569,1,1,8
000572,1,2,11
000575,0,1,9
000578,1,2,13
000582,1,1,8
000585,1,0,5
000588,1,1,11
000591,1,1,14
000594,2,2,19
000597,2,3,23
000600,3,2,18
000603,0,2,36
000606,1,0,12
000609,2,2,14
000612,1,1,8
000616,1,2,14
000621,1,1,9
000624,1,1,10
000627,0,1,8
000632,1,0,8
000636,1,1,9
000641,1,1,29
000648,0,0,24
000651,1,2,11
000654,1,1,20
000657,1,1,10
000660,1,2,26
000664,1,1,22
000669,2,1,11
000672,1,1,12
000676,1,2,13
000679,1,1,14
