image_id,label,old,tags,ko,sec
000002,2025-12-11,2025-12-11,,2025-12-11,3.1
000009,2026-10-29,2026-10-29,,2026-10-29,4.3
000014,2026-01-31,2026-01-31,,2026-01-31,8.7
000017,2026-11-25,2026-11-25,,2026-11-25,3.3
000022,2025-10-14,NONE-01-20,,NONE-01-20,10.7
000026,2025-11-13,2025-11-13,,2025-11-13,1.5
000030,2017-08-28,2017-08-28,,2017-08-28,5.7
000033,2026-06-17,2026-06-17,,2026-06-17,2.2
000037,2026-07-17,2026-07-17,,2026-07-17,1.6
000040,2025-10-11,2025-10-11,,2025-10-11,1.8
000044,2026-02-07,2026-02-07,,2026-02-07,7.0
000047,2027-04-14,2027-04-04,,2027-04-04,1.9
000050,2025-09-30,2025-09-30,,2025-09-30,9.1
000053,2025-12-20,2025-12-20,,2025-12-20,3.3
000058,2027-03-27,2027-03-27,,2027-03-27,3.3
000062,2026-05-26,2026-05-26,,2026-05-26,2.4
000066,2026-08-17,2026-08-17,,2026-08-17,2.9
000071,2027-07-20,2027-07-20,2,2027-07-20,3.5
000075,2026-01-06,2026-01-06,,2026-01-06,3.5
000078,2025-06-19,2025-06-19,,2018-08-18,4.9
000081,2026-05-18,2026-05-18,2,2026-05-18,3.5
000085,2026-03-30,2026-09-30,,2026-09-30,3.7
000094,2027-06-30,2027-06-30,,2027-06-30,3.3
000100,2026-02-11,2026-02-11,,2026-02-11,3.6
000103,2025-12-18,2025-12-18,,2025-12-18,2.3
000109,2025-12-12,2025-12-12,b,2025-12-12,4.7
000112,2025-10-17,2025-10-17,,2025-10-17,2.1
000115,2025-12-08,2025-12-08,,2025-12-08,14.7
000118,2026-03-23,2026-05-25,,2026-05-25,3.3
000121,2027-04-13,2027-04-13,,2027-04-13,2.1
000127,2026-04-27,2026-04-27,,2026-04-27,2.1
000130,2027-02-05,2027-02-05,,2027-02-05,1.3
000134,2026-09-23,2026-09-23,,2026-09-23,2.7
000137,2026-03-26,2026-03-26,,2026-03-26,2.1
000140,2026-07-14,2026-07-14,,2026-07-14,2.0
000144,2027-03-25,2027-03-25,,2027-03-25,3.3
000148,2026-02-26,2026-02-26,2,2026-02-26,3.0
000151,2026-09-07,2026-09-07,,2026-09-07,2.0
000156,2026-07-29,2026-07-29,,2026-07-29,2.3
000160,2026-10-27,2025-04-02,2,2025-04-02,2.3
000163,2026-11-20,2026-11-20,,2026-11-20,1.7
000166,2027-08-18,2027-08-NONE,,2027-08-NONE,7.8
000170,2026-09-07,2026-09-07,,2026-09-07,1.8
000173,2026-09-17,2026-09-17,,2026-09-17,1.8
000176,2026-09-22,2026-09-22,2,2026-09-22,5.4
000179,2026-06-29,2025-09-30,2,2026-06-29,4.2
000182,2026-10-01,2026-10-01,,2026-10-01,3.3
000186,2028-04-14,2028-04-14,,2028-04-14,1.7
000190,2022-11-26,2022-11-26,,2022-11-26,26.2
000194,2027-04-23,2027-04-23,,2027-04-23,2.6
000198,2026-05-08,2022-12-15,,2022-12-15,4.9
000202,2027-02-06,2027-02-06,,2027-02-06,2.6
000205,2027-05-18,2027-05-18,,2027-05-18,2.8
000211,2026-02-12,2026-06-02,,2026-06-02,11.7
000216,2026-03-16,2026-03-01,,2026-03-01,2.0
000219,2026-09-07,2026-09-07,,2026-09-07,1.2
000222,2026-03-25,2026-03-25,,2026-03-25,2.2
000226,2027-03-15,2027-03-15,,2027-03-15,7.1
000229,2025-10-28,2022-10-11,,2022-10-11,11.8
