image_id,label,base,tags,all4,sec
000003,2026-05-12,2026-05-12,t,2026-05-12,1.0
000010,2026-06-08,2026-06-08,,2026-06-08,1.6
000015,2026-03-01,2026-03-01,2,2026-03-01,3.1
000018,2026-04-24,2026-04-24,,2026-04-24,10.8
000023,2025-10-10,2025-10-10,,2025-10-10,1.2
000027,2026-04-27,2026-04-27,,2026-04-27,3.0
000031,2026-02-14,2026-02-14,,2026-02-14,1.9
000034,2026-06-30,2026-06-30,,2026-06-30,1.8
000038,2027-02-12,2027-02-12,,2027-02-12,2.0
000041,2025-10-11,2025-10-11,,2025-10-11,1.5
000045,2027-04-21,2027-04-21,,2027-04-21,2.2
000048,2026-06-12,2026-06-12,,2026-06-12,6.6
000051,2026-01-12,2026-01-12,,2026-01-12,1.7
000054,2025-10-08,NONE,,NONE,21.9
000059,2027-06-22,2022-06-22,,2027-06-22,14.2
000063,2026-06-16,2026-06-16,2,2026-06-16,1.9
000067,2025-12-19,NONE,,NONE,17.5
000072,2026-04-25,2026-04-25,,2026-04-25,4.9
000076,2026-08-17,2026-08-17,,2026-08-17,2.6
000079,2026-01-31,2026-01-31,,2026-01-31,2.3
000083,2026-07-01,2026-07-01,,2026-07-01,2.7
000091,2027-05-22,2027-05-22,,2027-05-22,3.3
000095,2026-07-29,2026-07-29,,2026-07-29,6.6
000101,2026-04-08,2026-04-08,,2026-04-08,2.7
000106,NONE-10-20,NONE,,NONE,26.5
000110,2025-10-29,NONE,,NONE,20.4
000113,2026-01-16,2026-01-16,,2026-01-16,1.5
000116,2026-03-27,2026-03-27,,2026-03-27,2.8
000119,2026-08-24,2026-08-24,,2026-08-24,1.4
000125,2026-04-07,2026-04-07,,2026-04-07,1.5
000128,2026-05-28,2026-05-28,,2026-05-28,2.6
000131,2026-08-05,2026-08-05,,2026-08-05,1.5
000135,2026-04-18,2026-04-18,,2026-04-18,3.3
000138,2026-05-14,2026-05-14,,2026-05-14,3.3
000141,2026-09-17,2026-09-17,,2026-09-17,1.9
000145,2027-03-24,2027-03-24,,2027-03-24,4.5
000149,2026-04-28,2026-04-28,,2026-04-28,4.3
000152,2026-07-31,2026-07-31,,2026-07-31,1.4
000157,2027-07-08,NONE,t,NONE,14.6
000161,2027-05-10,2027-05-10,,2027-05-10,3.6
000164,2026-04-27,2026-04-27,,2026-04-27,1.6
000167,2026-08-07,2026-08-07,,2026-08-07,5.0
000171,2026-05-27,2026-05-27,2,2026-05-27,2.3
000174,2026-09-05,2026-09-05,2,2026-09-05,2.7
000177,2026-08-18,2026-08-18,,2026-08-18,3.1
000180,2026-06-25,2026-06-25,2,2026-06-25,1.3
000184,2027-11-19,2027-11-01,,2027-11-01,2.3
000187,2028-02-05,2028-02-05,,2028-02-05,2.4
000191,2026-06-15,NONE,,NONE,20.1
000195,2027-07-01,2027-07-01,,2027-07-01,2.1
000200,2027-07-14,2021-07-NONE,,2021-07-NONE,12.3
000203,2026-07-01,2026-07-08,,2026-07-08,18.5
000206,2026-05-08,2026-05-08,,2026-05-08,2.4
000212,2026-12-16,2026-12-16,,2026-12-16,15.3
000217,2027-03-08,2027-03-08,,2027-03-08,5.1
000220,2026-02-23,2026-02-23,,2026-02-23,2.4
000223,2026-08-13,2026-08-13,,2026-08-13,1.6
000227,2028-09-17,2028-09-17,,2028-09-17,7.2
000230,2026-03-28,2026-03-28,,2026-03-28,3.4
000235,2026-03-08,2026-03-08,,2026-03-08,3.5
000238,2026-09-10,2026-09-10,2,2026-09-10,2.8
000241,2027-08-10,2027-08-10,,2027-08-10,2.4
000244,2026-06-21,2026-06-21,2,2026-06-21,3.4
000247,2026-05-20,2026-05-20,,2026-05-20,1.7
000251,2026-02-24,2026-02-24,2,2026-02-24,1.5
000254,2026-08-12,2026-08-12,2,2026-08-12,3.0
000258,2026-05-30,2026-05-30,,2026-05-30,6.0
000261,2026-03-07,2026-03-07,2,2026-03-07,3.2
000264,2026-06-06,NONE,,NONE,14.9
000267,2026-06-02,2026-06-02,,2026-06-02,2.7
000271,2026-03-24,2026-03-22,,2026-03-22,2.1
000276,2026-03-25,2026-03-25,2,2026-03-25,3.0
000282,2026-09-10,2026-09-10,,2026-09-10,3.1
000285,2027-07-02,2027-07-02,,2027-07-02,2.3
000288,2028-07-25,2028-07-25,b,2028-07-25,3.8
000291,2027-07-21,2027-07-21,,2027-07-21,3.4
000295,2025-11-08,2025-11-08,,2025-11-08,2.2
000300,2026-05-21,2026-05-21,,2026-05-21,2.5
000303,2026-07-31,2026-07-31,,2026-07-31,2.7
000306,2026-09-16,2026-09-16,,2026-09-16,2.3
000310,2026-09-28,2026-09-28,,2026-09-28,5.1
000315,2026-07-19,2026-07-19,,2026-07-19,1.1
000319,2026-02-14,2026-02-14,,2026-02-14,1.8
000323,2025-12-21,2025-12-21,2,2025-12-21,2.5
000326,2025-10-18,2025-10-18,,2025-10-18,3.6
000330,2025-11-02,2025-11-02,2,2025-11-02,4.6
000333,2025-11-07,2025-11-07,,2025-11-07,1.7
000336,2025-11-20,2025-11-20,,2025-11-20,17.5
000340,2026-08-11,2026-08-11,,2026-08-11,1.6
000344,2026-08-04,2026-08-04,,2026-08-04,1.3
000347,2027-05-26,2027-05-26,,2027-05-26,1.5
000350,2027-05-15,2027-05-15,,2027-05-15,3.6
000354,2027-07-06,2027-07-06,,2027-07-06,3.1
000357,2027-08-11,2027-08-11,,2027-08-11,2.3
000361,2026-12-19,2026-12-12,,2026-12-12,11.3
000365,2026-03-11,2026-03-11,,2026-03-11,3.0
000368,2026-09-22,2026-09-22,,2026-09-22,13.7
000371,2026-02-15,2026-02-15,,2026-02-15,1.7
000374,2026-08-28,2026-08-28,,2026-08-28,8.7
000377,2026-07-01,2026-07-01,,2026-07-01,28.0
000380,2026-09-02,2026-09-02,,2026-09-02,2.6
000383,2026-04-03,2026-04-03,,2026-04-03,2.7
000386,2026-06-10,2025-06-11,2,2026-06-10,3.8
000391,2026-12-10,2026-12-10,,2026-12-10,2.2
000394,2026-04-14,2026-04-14,,2026-04-14,7.6
000398,2027-07-30,2027-07-30,,2027-07-30,2.0
000402,2019-04-28,2019-04-28,,2019-04-28,4.8
000405,2027-10-15,2020-07-01,,2020-07-01,59.3
000408,2025-10-09,2025-10-09,2,2025-10-09,3.3
000412,2026-01-19,2026-01-19,,2026-01-19,3.4
000417,2026-03-15,2026-03-15,,2026-03-15,2.3
000420,2025-12-04,2025-12-04,,2025-12-04,3.6
000423,2026-06-04,2026-06-02,b,2026-06-02,2.5
000426,2026-12-26,2026-12-26,,2026-12-26,2.1
000430,2028-02-01,2028-02-01,,2028-02-01,2.8
000434,2026-10-28,2026-10-28,,2026-10-28,2.2
000437,2025-11-19,NONE,,NONE,16.0
000440,2026-08-13,NONE,2,NONE,22.1
000444,2026-07-01,2026-07-01,,2026-07-01,2.7
000448,2026-08-20,2026-08-20,,2026-08-20,2.2
000451,2026-02-27,2025-08-28,2,2026-02-27,3.7
000454,2025-07-15,2025-07-15,2,2025-07-15,2.9
000459,2026-01-19,NONE-01-19,,NONE-01-19,33.4
000464,2026-03-19,2026-05-19,,2026-05-19,9.2
000467,2025-12-26,2025-12-26,,2025-12-26,4.6
000470,2026-08-06,2026-08-06,,2026-08-06,2.2
000474,2026-06-26,2026-06-06,,2026-06-06,3.2
000478,2026-06-11,NONE,,NONE,16.5
000481,2026-03-09,2026-03-09,,2026-03-09,1.5
000484,2027-11-14,2027-11-14,,2027-11-14,4.1
000489,2026-05-08,2026-05-08,,2026-05-08,12.4
000494,2025-12-12,2025-12-12,2,2025-12-12,6.4
000497,2026-08-31,NONE,,NONE,17.2
000500,2026-12-17,2026-12-17,2,2026-12-17,4.5
000504,2026-02-28,2026-02-28,,2026-02-28,2.3
000507,2026-05-19,2025-08-20,2,2026-05-19,9.9
000512,2026-02-17,2026-02-17,,2026-02-17,3.6
000516,2026-07-16,2026-07-16,,2026-07-16,2.3
000519,2026-08-10,2026-08-10,2,2026-08-10,2.8
000522,2026-02-21,NONE,2,NONE,24.9
000525,2027-09-08,2027-09-08,,2027-09-08,2.9
000530,2026-06-24,2030-12-14,,2030-12-14,6.8
000533,2026-03-26,2026-03-26,,2026-03-26,3.1
000536,2026-01-01,2026-01-01,,2026-01-01,2.1
000540,2026-03-24,2026-03-24,,2026-03-24,1.4
000543,2026-06-23,2026-06-02,,2026-06-23,3.3
000547,2026-05-28,2026-05-28,,2026-05-28,2.0
000550,2026-05-29,2026-05-29,,2026-05-29,2.4
000553,2028-10-24,2022-10-24,,2022-10-24,6.2
000556,2026-08-07,2026-08-07,e,2026-08-07,3.1
000559,2027-04-21,2027-04-21,,2027-04-21,1.6
000562,2025-12-30,2025-12-30,,2025-12-30,3.2
000565,2025-12-05,2025-12-05,,2025-12-05,1.8
000568,2026-02-23,2026-02-23,,2026-02-23,3.0
000571,NONE-10-18,2024-11-18,,2024-11-18,2.4
000574,2026-02-24,NONE-02-24,,2026-02-24,1.3
000577,2026-04-20,2026-04-20,,2026-04-20,1.7
000581,2026-02-25,2026-02-25,,2026-02-25,2.0
000584,2026-07-15,2026-07-15,2,2026-07-15,2.5
000587,2026-02-07,2026-02-17,,2026-02-17,5.5
000590,2025-12-05,2025-12-05,,2025-12-05,1.7
000593,2026-07-22,2026-07-22,,2026-07-22,4.9
000596,2026-08-13,2025-08-14,,2025-08-14,4.5
000599,2026-09-04,2026-09-04,,2026-09-04,1.8
000602,2026-09-22,2025-09-20,2,2025-09-20,1.6
000605,2028-07-01,2028-07-01,,2028-07-01,1.5
000608,2026-08-13,2026-08-13,,2026-08-13,1.6
000611,2026-07-20,2026-07-20,,2026-07-20,2.6
000614,2026-03-07,2026-03-07,,2026-03-07,1.4
000619,2026-09-15,2026-09-15,,2026-09-15,1.3
000623,2027-03-10,2027-03-10,,2027-03-10,1.4
000626,2026-07-01,2026-07-01,,2026-07-01,1.2
000631,2025-11-15,2025-11-15,,2025-11-15,1.2
000634,2026-02-05,2026-02-05,,2026-02-05,1.5
000640,2026-02-08,2026-02-08,,2026-02-08,1.2
000646,2027-01-15,2027-01-15,,2027-01-15,1.0
000650,2026-08-05,2026-08-05,,2026-08-05,1.8
000653,2027-01-19,2027-01-19,,2027-01-19,1.3
000656,2026-09-04,2026-09-04,,2026-09-04,1.4
000659,2026-08-24,2026-08-24,,2026-08-24,1.2
000662,2026-03-11,2026-03-11,,2026-03-11,1.9
000668,2026-04-30,2026-04-30,,2026-04-30,1.1
000671,2026-03-31,2025-10-01,,2026-03-31,2.8
000675,NONE,2028-06-03,?,2028-06-03,1.3
000678,2026-07-24,2026-07-24,,2026-07-24,1.4
000682,2026-01-25,2026-01-25,,2026-01-25,1.6
000685,2026-05-28,2026-05-28,,2026-05-28,1.7
000690,2025-10-11,2025-10-11,2,2025-10-11,2.0
000693,2026-09-01,2026-09-01,2,2026-09-01,2.3
000699,2025-10-27,NONE,b,NONE,14.4
000704,2026-07-29,2026-07-29,,2026-07-29,1.3
000708,2025-09-18,2025-09-18,,2025-09-18,1.1
000711,2025-10-09,2025-10-09,,2025-10-09,1.6
000716,2025-11-07,2025-11-07,,2025-11-07,1.1
000719,2026-04-04,2026-04-04,,2026-04-04,1.1
000722,2026-08-04,2026-10-19,,2026-10-19,2.5
000725,2026-04-16,2026-04-16,,2026-04-16,3.2
000728,2026-06-24,2026-06-24,,2026-06-24,0.8
000732,2026-03-16,2026-03-15,,2026-03-15,1.3
000735,2027-01-12,2027-01-12,,2027-01-12,2.5
000741,2025-12-03,2025-12-03,2,2025-12-03,2.6
000744,2027-08-18,2027-08-18,,2027-08-18,2.1
000747,2026-06-22,2026-06-22,,2026-06-22,1.7
000752,2026-07-09,2026-07-09,,2026-07-09,1.8
000757,NONE-10-22,NONE-10-22,,NONE-10-22,2.3
000760,NONE-11-20,NONE-11-20,,NONE-11-20,2.4
000763,NONE-11-12,NONE-11-12,,NONE-11-12,14.5
000766,2026-09-24,2026-09-24,,2026-09-24,1.4
000769,2026-12-10,2026-12-10,,2026-12-10,1.8
000772,NONE-12-20,NONE,,NONE,30.9
000775,2025-12-17,2025-12-17,,2025-12-17,1.3
000778,2026-06-22,2026-06-22,,2026-06-22,1.6
000781,2026-10-02,2026-10-02,,2026-10-02,1.1
000788,NONE-12-21,NONE-12-21,,NONE-12-21,6.3
000793,2026-05-06,2026-05-06,,2026-05-06,1.8
000796,2026-07-14,NONE,2,NONE,17.1
000801,2026-03-25,2026-03-25,,2026-03-25,2.1
000806,2026-10-02,2026-10-02,,2026-10-02,2.3
000809,2026-08-30,2026-08-30,,2026-08-30,1.6
000812,2026-05-29,2026-05-29,,2026-05-29,2.2
000818,2026-05-12,NONE,,NONE,17.1
000823,2027-02-23,2027-02-23,,2027-02-23,1.9
000826,2026-06-22,2026-06-22,,2026-06-22,4.4
000830,2025-12-20,2025-12-20,,2025-12-20,1.7
000833,2026-04-27,2026-04-27,,2026-04-27,1.6
000840,2026-01-01,NONE-01-31,,NONE-12-12,4.1
000846,2026-05-28,2026-05-28,,2026-05-28,2.1
000849,2026-05-21,2026-05-21,,2026-05-21,1.7
000854,2026-09-04,2026-09-04,,2026-09-04,3.0
000857,2025-01-28,2025-01-28,,2025-01-28,3.8
000860,2022-07-23,2022-07-23,,2022-07-23,4.0
000865,2021-09-25,2021-09-25,,2021-09-25,1.8
000868,2021-10-23,NONE,,NONE,9.5
000872,2021-02-26,2021-02-26,,2021-02-26,2.0
000876,2021-07-01,2021-07-01,,2021-07-01,1.3
000879,2021-05-11,2021-05-11,,2021-05-11,5.3
000882,2021-06-08,2021-06-08,,2021-06-08,2.3
000885,2021-07-09,2020-01-10,,2020-01-10,3.1
000888,2021-12-04,2021-12-04,,2021-12-04,2.9
000891,2021-04-05,2021-04-05,,2021-04-05,8.1
000894,2021-06-02,2021-06-02,,2021-06-02,1.7
000898,2025-05-19,2025-05-19,,2025-05-19,14.9
000902,2021-11-01,2021-11-01,,2021-11-01,3.7
000905,2022-01-NONE,2022-01-NONE,,2022-01-NONE,3.0
000909,2021-09-20,2021-09-20,,2021-09-20,1.3
000912,2022-05-05,2022-05-05,,2022-05-05,3.3
000915,2021-07-21,2021-07-21,,2021-07-21,2.7
000919,2022-03-11,2022-03-11,,2022-03-11,3.1
000923,NONE-02-01,2020-01-02,,2020-01-02,2.1
000926,2021-06-10,2021-06-10,,2021-06-10,1.4
000929,2022-03-13,2022-03-13,,2022-03-13,2.9
000932,2021-05-26,2021-05-26,,2021-05-26,2.9
000936,2021-10-19,2021-10-19,2,2021-10-19,1.7
000940,2021-10-28,NONE,,NONE,8.4
000944,2021-07-03,2021-07-03,,2021-07-03,2.9
000948,2021-10-24,2021-10-24,2,2021-10-24,4.7
000951,2021-04-05,2021-04-05,,2021-04-05,1.9
000954,2021-02-05,2021-02-05,2,2021-02-05,1.5
000958,2021-02-22,2021-02-22,2,2021-02-22,1.4
000961,2023-10-21,2023-10-21,,2023-10-21,2.4
000965,2020-07-24,2023-03-20,2,2023-07-20,35.8
000968,2022-10-17,2022-10-NONE,,2022-10-NONE,3.3
000972,2021-06-25,2021-06-25,,2021-06-25,1.7
000976,2023-08-03,2023-08-03,,2023-08-03,2.7
000979,2021-06-14,2021-06-14,2,2021-06-14,3.6
000983,2021-08-20,2021-08-20,,2021-08-20,7.7
000988,2021-12-28,2021-12-28,,2021-12-28,1.8
000991,2021-03-04,NONE,,NONE,31.6
000994,NONE-02-18,NONE,,NONE,16.9
000997,NONE-02-19,NONE,,NONE,8.5
001000,2021-09-07,2021-09-07,,2021-09-07,4.5
001005,2020-08-10,2020-08-10,,2020-08-10,11.1
001008,2022-11-24,2022-11-24,,2022-11-24,2.3
001013,2021-11-10,2021-11-10,2,2021-11-10,2.4
001016,2021-02-21,2021-02-21,,2021-02-21,2.1
001019,2021-05-15,NONE,b,NONE,7.5
001023,2021-07-13,2021-07-13,,2021-07-13,2.1
001026,2020-12-09,2020-12-09,,2020-12-09,2.9
001029,2021-07-07,2021-07-07,2,2021-07-07,2.6
001034,2021-06-28,2021-06-28,,2021-06-28,3.7
001037,2021-03-18,2021-03-18,,2021-03-18,1.7
001040,2022-04-15,2022-04-15,,2022-04-15,1.7
001043,2021-09-13,2021-09-13,,2021-09-13,1.8
001046,2021-10-07,2021-10-07,,2021-10-07,3.1
001050,2022-01-06,2022-01-06,,2022-01-06,2.4
001053,2022-09-01,2022-09-01,,2022-09-01,7.0
001056,2022-05-27,2022-05-27,,2022-05-27,3.2
001061,2022-07-04,2022-07-04,2,2022-07-04,3.7
001065,2022-05-04,2022-05-04,,2022-05-04,4.6
001068,2021-03-15,2021-03-15,,2021-03-15,1.6
001071,NONE-01-24,NONE-01-24,,NONE-01-24,2.0
001075,2021-09-30,2021-09-30,,2021-09-30,4.0
001079,2023-09-24,2023-09-24,,2023-09-24,1.6
001082,2021-06-17,2021-06-17,,2021-06-17,3.4
001085,2023-10-09,2023-10-09,,2023-10-09,3.3
001088,2022-06-14,2022-06-14,,2022-06-14,1.3
001092,2021-03-19,2021-03-19,2,2021-03-19,3.7
001095,2022-01-12,2022-01-NONE,2,2021-01-13,1.9
001098,2021-03-18,2021-03-18,2,2021-03-18,3.7
001102,2021-03-14,2021-03-14,,2021-03-14,3.3
001105,2021-08-26,2020-08-26,2,2020-11-02,1.8
001108,2021-02-28,2021-02-28,,2021-02-28,2.5
001111,2022-07-12,2022-07-12,,2022-07-12,3.2
001114,2023-11-15,2023-11-15,,2023-11-15,3.1
001117,2022-01-20,2022-01-20,,2022-01-20,1.3
001121,2023-01-10,2023-01-10,,2023-01-10,4.5
001124,2021-10-09,2021-10-09,,2021-10-09,2.9
001127,2021-06-10,2021-06-10,2,2021-06-10,3.6
001130,NONE-02-12,2020-08-07,,2020-08-07,22.7
001133,2021-02-19,2021-02-19,2,2021-02-19,2.4
001136,2022-09-24,NONE,,NONE,11.1
001139,2021-02-28,2021-02-28,,2021-02-28,2.4
001143,2021-06-26,2021-06-28,t,2021-06-28,2.6
001146,2021-12-13,2021-12-13,2,2021-12-13,2.4
