image_id,label,old,tags,kct,kct_tier,sec
000003,2026-05-12,2026-05-12,t,2026-05-12,2026-05-12,1.1
000010,2026-06-08,2026-06-08,,2026-06-08,2026-06-08,1.2
000015,2026-03-01,2026-03-01,2,2026-03-01,2026-03-01,3.4
000018,2026-04-24,2026-04-24,,2026-04-24,2026-04-24,9.0
000023,2025-10-10,2025-10-10,,2025-10-10,2025-10-10,1.6
000027,2026-04-27,2026-04-27,,2026-04-27,2026-04-27,2.5
000031,2026-02-14,2026-02-14,,2026-02-14,2026-02-14,1.7
000034,2026-06-30,2026-06-30,,2026-06-30,2026-06-30,1.7
000038,2027-02-12,2027-02-12,,2027-02-12,2027-02-12,1.5
000041,2025-10-11,2025-10-11,,2025-10-11,2025-10-11,1.9
000045,2027-04-21,2027-04-21,,2027-04-21,2027-04-21,1.9
000048,2026-06-12,2026-06-12,,2026-06-12,2026-06-12,6.2
000051,2026-01-12,2026-01-12,,2026-01-12,2026-01-12,1.3
000054,2025-10-08,NONE,,NONE,NONE,17.3
000059,2027-06-22,2022-06-22,,2027-06-22,2027-06-22,13.2
000063,2026-06-16,2026-06-16,2,2026-06-16,2026-06-16,1.4
000067,2025-12-19,NONE,,NONE,NONE,13.9
000072,2026-04-25,2026-04-25,,2026-04-25,2026-04-25,3.7
000076,2026-08-17,2026-08-17,,2026-08-17,2026-08-17,1.4
000079,2026-01-31,2026-01-31,,2026-01-31,2026-01-31,1.4
000083,2026-07-01,2026-07-01,,2026-07-01,2026-07-01,1.2
000091,2027-05-22,2027-05-22,,2027-05-22,2027-05-22,1.9
000095,2026-07-29,2026-07-29,,2026-07-29,2026-07-29,6.1
000101,2026-04-08,2026-04-08,,2026-04-08,2026-04-08,2.4
000106,NONE-10-20,NONE,,NONE,NONE,24.7
000110,2025-10-29,NONE,,NONE,NONE,18.8
000113,2026-01-16,2026-01-16,,2026-01-16,2026-01-16,1.6
000116,2026-03-27,2026-03-27,,2026-03-27,2026-03-27,2.1
000119,2026-08-24,2026-08-24,,2026-08-24,2026-08-24,1.5
000125,2026-04-07,2026-04-07,,2026-04-07,2026-04-07,1.8
