image_id,label,old,tags,kol,sec
000002,2025-12-11,2025-12-11,,2025-12-11,5.4
000009,2026-10-29,2026-10-29,,2026-10-29,12.2
000014,2026-01-31,2026-01-31,,2026-01-31,26.4
000017,2026-11-25,2026-11-25,,2026-11-25,12.1
000022,2025-10-14,NONE-01-20,,NONE-01-20,16.6
000026,2025-11-13,2025-11-13,,2025-11-13,5.6
000030,2017-08-28,2017-08-28,,2017-08-28,10.6
000033,2026-06-17,2026-06-17,,2026-06-17,5.5
000037,2026-07-17,2026-07-17,,2026-07-17,2.8
000040,2025-10-11,2025-10-11,,2025-10-11,3.6
000044,2026-02-07,2026-02-07,,2026-02-07,10.5
000047,2027-04-14,2027-04-04,,2027-04-14,4.8
000050,2025-09-30,2025-09-30,,2025-09-30,10.3
000053,2025-12-20,2025-12-20,,2025-12-20,4.4
000058,2027-03-27,2027-03-27,,2027-03-27,5.5
000062,2026-05-26,2026-05-26,,2026-05-26,4.3
000066,2026-08-17,2026-08-17,,2026-08-17,7.1
000071,2027-07-20,2027-07-20,2,2027-07-20,5.1
000075,2026-01-06,2026-01-06,,2026-01-06,5.0
000078,2025-06-19,2025-06-19,,2025-06-19,5.9
000081,2026-05-18,2026-05-18,2,2026-05-18,4.6
000085,2026-03-30,2026-09-30,,2026-09-30,4.7
000094,2027-06-30,2027-06-30,,2027-06-30,4.1
000100,2026-02-11,2026-02-11,,2026-02-11,5.4
000103,2025-12-18,2025-12-18,,2025-12-18,4.4
000109,2025-12-12,2025-12-12,b,2025-12-12,6.7
000112,2025-10-17,2025-10-17,,2025-10-17,5.2
000115,2025-12-08,2025-12-08,,2025-12-08,16.0
000118,2026-03-23,2026-05-25,,2026-05-25,3.7
000121,2027-04-13,2027-04-13,,2027-04-13,3.9
000127,2026-04-27,2026-04-27,,2026-04-27,4.1
000130,2027-02-05,2027-02-05,,2027-02-05,1.5
000134,2026-09-23,2026-09-23,,2026-09-23,5.5
000137,2026-03-26,2026-03-26,,2026-03-26,5.3
000140,2026-07-14,2026-07-14,,2026-07-14,7.0
000144,2027-03-25,2027-03-25,,2027-03-25,6.9
000148,2026-02-26,2026-02-26,2,2026-02-26,1.9
000151,2026-09-07,2026-09-07,,2026-09-07,5.5
000156,2026-07-29,2026-07-29,,2026-07-29,4.8
000160,2026-10-27,2025-04-02,2,2026-10-27,4.1
000163,2026-11-20,2026-11-20,,2026-11-20,3.4
000166,2027-08-18,2027-08-NONE,,2027-08-NONE,8.5
000170,2026-09-07,2026-09-07,,2026-09-07,3.1
000173,2026-09-17,2026-09-17,,2026-09-17,3.5
000176,2026-09-22,2026-09-22,2,2026-09-22,5.4
000179,2026-06-29,2025-09-30,2,2026-06-29,5.8
000182,2026-10-01,2026-10-01,,2026-10-01,5.4
000186,2028-04-14,2028-04-14,,2028-04-14,3.2
000190,2022-11-26,2022-11-26,,2022-11-26,29.7
000194,2027-04-23,2027-04-23,,2027-04-23,5.3
000198,2026-05-08,2022-12-15,,2022-12-15,6.4
000202,2027-02-06,2027-02-06,,2027-02-06,4.0
000205,2027-05-18,2027-05-18,,2027-05-18,1.6
000211,2026-02-12,2026-06-02,,2026-06-02,12.8
000216,2026-03-16,2026-03-01,,2026-03-16,4.3
000219,2026-09-07,2026-09-07,,2026-09-07,2.9
000222,2026-03-25,2026-03-25,,2026-03-25,4.7
000226,2027-03-15,2027-03-15,,2027-03-15,9.7
000229,2025-10-28,2022-10-11,,2022-10-11,12.8
000233,2028-01-13,2021-01-22,,2021-01-22,13.2
000237,2026-06-05,2026-06-05,,2026-06-05,6.7
000240,2027-05-20,2027-05-20,,2027-05-20,6.9
000243,2026-08-17,2026-08-17,,2026-08-17,4.0
000246,2026-02-04,2025-09-05,2,2026-02-04,6.0
000250,2026-03-04,2026-03-04,2,2026-03-04,6.3
000253,2026-06-20,2026-06-20,,2026-06-20,6.2
000257,2025-12-10,2025-12-10,,2025-12-10,3.8
